DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,12:59:31.935,P,HZO,,15.36,1,15.67,1,R,P,P,12770460,0,2,,C
20140304,12:59:32.367,N,HZO,,15.61,1,15.66,1,R,N,N,12770621,6,2,A,C
20140304,12:59:32.368,P,HZO,,15.36,1,16.06,2,R,P,P,12770622,0,2,,C
20140304,12:59:32.376,P,HZO,,15.36,1,15.66,1,R,P,P,12770623,0,2,,C
20140304,12:59:36.567,T,HZO,,15.61,2,15.67,1,R,T,T,12773792,6,2,,C
20140304,12:59:45.496,N,HZO,,15.61,1,15.68,1,R,N,N,12778038,6,2,A,C
20140304,12:59:45.496,T,HZO,,15.62,1,15.67,1,R,T,T,12778039,6,2,,C
20140304,12:59:45.498,P,HZO,,15.36,1,16.06,2,R,P,P,12778042,6,2,,C
20140304,12:59:45.498,P,HZO,,15.63,1,16.06,2,R,P,P,12778044,6,2,,C
20140304,12:59:45.499,T,HZO,,15.63,1,15.67,1,R,T,T,12778046,0,2,,C
20140304,12:59:45.500,N,HZO,,15.63,1,15.68,1,R,N,N,12778048,0,2,A,C
20140304,12:59:45.501,N,HZO,,15.63,1,15.67,1,R,N,N,12778049,0,2,A,C
20140304,12:59:45.505,N,HZO,,15.63,1,15.68,2,R,N,N,12778050,0,2,A,C
20140304,12:59:45.506,C,HZO,,15.62,1,15.86,1,R,C,C,12778051,0,2,,C
20140304,12:59:45.507,K,HZO,,15.63,1,16,3,R,K,K,12778052,0,2,,C
20140304,12:59:45.508,T,HZO,,15.63,1,15.69,1,R,T,T,12778053,6,2,,C
20140304,12:59:45.508,T,HZO,,15.64,1,15.69,1,R,T,T,12778054,6,2,,C
20140304,12:59:45.508,T,HZO,,15.64,2,15.69,1,R,T,T,12778055,6,2,,C
20140304,12:59:45.509,T,HZO,,15.64,2,15.7,2,R,T,T,12778056,0,2,,C
20140304,12:59:45.509,T,HZO,,15.64,2,15.7,1,R,T,T,12778057,0,2,,C
20140304,12:59:45.511,K,HZO,,14.46,1,16,3,R,K,K,12778058,0,2,,C
20140304,12:59:45.512,C,HZO,,15.63,1,15.86,1,R,C,C,12778059,0,2,,C
20140304,12:59:45.512,N,HZO,,15.63,1,15.68,1,R,N,N,12778060,6,2,A,C
20140304,12:59:45.513,Z,HZO,,15.57,1,15.76,1,R,Z,Z,12778061,0,2,,C
20140304,12:59:45.516,N,HZO,,15.64,1,15.68,1,R,N,N,12778062,0,2,A,C
20140304,12:59:45.517,C,HZO,,15.64,1,15.86,1,R,C,C,12778063,0,2,,C
20140304,12:59:45.531,Y,HZO,,15.61,1,15.87,1,R,Y,Y,12778075,0,2,,C
20140304,12:59:45.532,Y,HZO,,15.61,1,15.87,1,R,Y,Y,12778076,0,2,A,C
20140304,12:59:45.532,N,HZO,,15.64,1,15.68,1,R,N,N,12778077,0,2,,C
20140304,12:59:45.532,N,HZO,,15.64,1,15.68,1,R,N,N,12778078,0,2,A,C
20140304,12:59:45.548,Y,HZO,,15.62,1,15.87,1,R,Y,Y,12778099,0,2,A,C
20140304,12:59:45.551,N,HZO,,15.64,1,15.69,2,R,N,N,12778100,6,2,A,C
20140304,12:59:45.594,P,HZO,,15.62,1,16.06,2,R,P,P,12778121,0,2,,C
20140304,12:59:45.604,T,HZO,,15.64,1,15.7,1,R,T,T,12778127,6,2,,C
20140304,12:59:45.650,Y,HZO,,15.62,1,15.87,1,R,Y,Y,12778143,0,2,,C
20140304,12:59:45.650,Y,HZO,,15.62,1,15.87,1,R,Y,Y,12778144,0,2,A,C
20140304,12:59:45.651,N,HZO,,15.64,1,15.69,2,R,N,N,12778145,0,2,,C
20140304,12:59:45.651,N,HZO,,15.64,1,15.69,2,R,N,N,12778146,0,2,A,C
